Parameter;Gender;Lower_Limit;Upper_Limit;Unit;Low_Message;High_Message;;;;;;;;;;;;;;;;
Albumiini, seerumi (veri);nan;3.May;5.May;g/dL;Albumiinin vähenemistä voidaan havaita maksan tai munuaisten sairauksissa;Albumiinitason nousu voi esiintyä kuivumisen yhteydessä.;;;;;;;;;;;;;;;;
Albumiini, seerumi (veri);nan;45;55;g/L;Albumiinin vähenemistä voidaan havaita maksan tai munuaisten sairauksissa;Albumiinitason nousu voi esiintyä kuivumisen yhteydessä.;;;;;;;;;;;;;;;;
Albumiini, virtsa;nan;0;25;mg/24hr;(-);Albumiinia ei normaalisti esiinny virtsassa, sen läsnäolo voi viitata munuaisvaurioon.;;;;;;;;;;;;;;;;
ALAT (Alaniiniaminotransferaasi);nan;10;40;U/L;(-);ALT on entsyymi, joka löytyy maksasta, veren tason nousu viittaa maksavaurioon.;;;;;;;;;;;;;;;;
ASAT (Aspartaattiaminotransferaasi);nan;10;40;U/L;(-);"AST on entsyymi, joka löytyy maksasta, sydämestä ja lihaksista; nousu viittaa vaurioon jossain näistä.";;;;;;;;;;;;;;;;
Kokonaiskolesteroli;nan;0;200;mg/dL;(-);Kohonnut kolesteroli lisää sydäninfarktin riskiä.;;;;;;;;;;;;;;;;
HDL-kolesteroli (Korkean tiheyden lipoproteiini);Female;50;500;mg/dL;Matala HDL lisää sydänkohtausten riskiä.;HDL suojaa sydänsairauksilta.;;;;;;;;;;;;;;;;
HDL-kolesteroli (Korkean tiheyden lipoproteiini);Male;40;500;mg/dL;Matala HDL lisää sydänkohtausten riskiä.;HDL suojaa sydänsairauksilta.;;;;;;;;;;;;;;;;
LDL-kolesteroli (Matalan tiheyden lipoproteiini);nan;0;100;mg/dL;Matala LDL suojaa sydänsairauksilta.;Korkea LDL lisää sydäninfarktin riskiä.;;;;;;;;;;;;;;;;
Kreatiniini;Female;0.5;1.Eki;mg/dL;(-);Korkeat kreatiniinitasot viittaavat siihen, että munuaiset eivät toimi kunnolla.;;;;;;;;;;;;;;;;
Kreatiniini;Male;0.7;1.Oca;mg/dL;(-);Korkeat kreatiniinitasot viittaavat siihen, että munuaiset eivät toimi kunnolla.;;;;;;;;;;;;;;;;
Kalsium;nan;8.Haz;10.Şub;mg/dL;Matala kalsiumpitoisuus voi aiheuttaa lihaskramppeja, kouristuksia tai ripulia, riippuen vakavuudesta.;Korkeat kalsiumtasot voivat aiheuttaa ummetusta, vatsakipua, lihasheikkoutta ja sekavuutta, riippuen vakavuudesta.;;;;;;;;;;;;;;;;
Kloridi;nan;98;106;mEq/L;Matala kloridipitoisuus voidaan havaita tapauksissa, joissa potilas oksentaa tai on ripulissa, ja joskus tietyistä lääkkeistä (Lasix, desal, hyzaar, atacand) myrkytyksissä.;Korkeat kloriditasot voivat johtua monista syistä, yksinkertaisin on veden menetys hikoilun tai ripulin kautta tai vähentynyt veden saanti.;;;;;;;;;;;;;;;;
C-reaktiivinen proteiini (CRP);nan;0;0.8;mg/dL;(-);Kohonneet CRP-tasot viittaavat yleensä infektion läsnäoloon, mutta ne voivat myös nousta syömissä ja sydänsairauksissa.;;;;;;;;;;;;;;;;
Natrium;nan;136;145;mEq/L;Matala natriumpitoisuus voi aiheuttaa lieviä oireita, kuten sekavuutta, mutta se voi myös johtaa vakaviin tiloihin, kuten koomaan ja kuolemaan, vakavuudesta riippuen.;Korkeat natriumpitoisuudet voivat aiheuttaa lieviä oireita, kuten verenpaineen nousua, mutta ne voivat myös johtaa vakaviin tiloihin, kuten koomaan ja kuolemaan, riippuen vakavuudesta.;;;;;;;;;;;;;;;;
Kalium;nan;3.Mar;5;mEq/L;Matala kaliumtaso voi aiheuttaa sydämen rytmihäiriöitä.;Korkeat kaliumtasot voivat aiheuttaa sydämen rytmihäiriöitä.;;;;;;;;;;;;;;;;
Kalium;nan;3.May;5;mmol/L;Matala kalium voi aiheuttaa sydämen rytmihäiriöitä.;Korkea kalium voi aiheuttaa sydämen rytmihäiriöitä.;;;;;;;;;;;;;;;;
Bikarbonaatti;nan;23;28;mEq/L;Bikarbonaattipitoisuuden lasku havaitaan tilassa, jota kutsutaan asidoosiksi, jossa veren happamuus lisääntyy.;Bikarbonaattitasojen nousu havaitaan tilassa, jota kutsutaan alkaloosiksi, jossa veren happamuus vähenee.;;;;;;;;;;;;;;;;
Erythrosyyttien sedimentaatio (ESR);Female;0;20;mm/hr;(-);Punasolujen sedimentoitumisnopeuden nousu on epäsuora merkki kehon lisääntyneestä tulehduksesta.;;;;;;;;;;;;;;;;
Erythrosyyttien sedimentaatio (ESR);Male;0;15;mm/hr;(-);Punasolujen sedimentoitumisnopeuden nousu on epäsuora merkki kehon lisääntyneestä tulehduksesta.;;;;;;;;;;;;;;;;
Fibrinogeeni, plasma (veri);nan;200;400;mg/dL;Fibrinogeenin lasku voi olla vakava tila, ota yhteys lääkäriisi.;Fibrinogeenin nousu on epäsuora merkki kehon tulehduksesta.;;;;;;;;;;;;;;;;
Folaatti;nan;1.Ağu;9;ng/mL;Folaattitason lasku aiheuttaa anemiaa ja raskaana olevilla naisilla se voi aiheuttaa kehityshäiriöitä vastasyntyneen hermostossa.;(-);;;;;;;;;;;;;;;;
GGT (Gamma-Glutamyylitransferaasi);Female;8;40;U/L;(-);GGT voi nousta tiloissa, jotka vaikuttavat maksaan ja sappitiehyisiin.;;;;;;;;;;;;;;;;
GGT (Gamma-Glutamyylitransferaasi);Male;9;50;U/L;(-);GGT voi nousta tiloissa, jotka vaikuttavat maksaan ja sappitiehyisiin.;;;;;;;;;;;;;;;;
Haptoglobiini;nan;83;267;mg/dL;Haptoglobiinipitoisuuden lasku viittaa siihen, että punasolut hajoavat verisuonissa.;Haptoglobiinitason nousu on epäsuora merkki kehon tulehduksesta.;;;;;;;;;;;;;;;;
%HbA1c (HbA1c-prosentti);nan;0;5.Haz;mg/dL;(-);Korkea HbA1c näyttää keskimääräisen verensokerisi viimeisen 3 kuukauden ajalta, ja korkeat arvot lisäävät diabeteksen riskiä.;;;;;;;;;;;;;;;;
Valkosolut (WBC);;4.May;10;10*9/L;;Korkeat WBC-arvot voivat nousta infektioissa tai tietyissä leukemia-tyypeissä.;;;;;;;;;;;;;;;;
RDW (Punasolujen jakautuma-indeksi);;9.Oca;14.May;%;(-);Korkeat RDW-arvot, jos ne esiintyvät anemian kanssa, viittaavat rautavajaukseen.;;;;;;;;;;;;;;;;
Trombosyytit (PLT);;150;350;10*3/uL;PLT-arvo edustaa verihiutaleiden määrää veressä, ja sen lasku voi aiheuttaa verenvuoto-oireita.;(-);;;;;;;;;;;;;;;;
Punasolut (RBC);Female;4.Şub;5.Eyl;10*6/uL;"RBC-arvo näyttää punasolujen määrän veressä, ja sen laskua kutsutaan anemiaksi; sen syyn selvittäminen on tärkeää.";RBC-arvo näyttää punasolujen määrän veressä, ja sen nousu voi näkyä taudissa nimeltä polycythemia vera.;;;;;;;;;;;;;;;;
Punasolut (RBC);Male;4.Şub;5.Eyl;10*6/uL;"RBC-arvo näyttää punasolujen määrän veressä, ja sen laskua kutsutaan anemiaksi; sen syyn selvittäminen on tärkeää.";RBC-arvo näyttää punasolujen määrän veressä, ja sen nousu voi näkyä taudissa nimeltä polycythemia vera.;;;;;;;;;;;;;;;;
Neutrofiilit, veri;;2.Oca;8;10*3/uL;Neutrofiilit ovat osa immuunijärjestelmäämme, niiden väheneminen voi aiheuttaa vakavia infektioita. Neutropenia (alhaiset neutrofiilitasot) voi ilmetä syövässä, infektioissa ja joissain geneettisissä sairauksissa.;Neutrofiilit ovat osa immuunijärjestelmäämme, ja niiden väheneminen voi aiheuttaa vakavia infektioita. Korkeat neutrofiilitasot voivat näkyä infektioissa.;;;;;;;;;;;;;;;;
Monosyytit;;0.2;0.8;10*3/uL;(-);Korkeat monosyytit veressä tarkoittavat, että infektioita tai leukemiaa on läsnä.;;;;;;;;;;;;;;;;
MCV (Keskimääräinen solutilavuus);;80;100;fL;"MCV näyttää punasolujen keskimääräisen tilavuuden; matalia arvoja voidaan havaita raudanpuutteessa, B6-vitamiinin puutteessa ja myös tietyissä geneettisissä tiloissa (esim. Thalassemia).";"MCV näyttää punasolujen keskimääräisen tilavuuden; korkeat arvot voivat ilmetä B12- tai foolihapon puutoksessa.";;;;;;;;;;;;;;;;
MCHC (Punasolujen hemoglobiinipitoisuus);;33;36;g/dL;MCHC näyttää, kuinka monta hemoglobiinia on jokaisessa punasolussa veressäsi. Sitä käytetään anemioiden erottamiseen.;MCHC näyttää kuinka monta hemoglobiinia on kullakin punasolulla veressäsi. Sitä käytetään erottamaan sferosytoosi. Sferosytoosissa MCHC on kohonnut.;;;;;;;;;;;;;;;;
MCH (Hemoglobiinimäärä punasolua kohti);;28;32;pg;MCH näyttää, kuinka monta hemoglobiinia on jokaisessa punasolussa veressäsi. Sitä käytetään anemioiden erottamiseen.;MCH näyttää kuinka monta hemoglobiinia on kullakin punasolulla veressäsi. Sitä käytetään erottamaan sferosytoosi. Sferosytoosissa MCH on kohonnut.;;;;;;;;;;;;;;;;
Kokonaisrautakyky (TIBC);;250;310;μg/dL;TIBC: tä käytetään arvioimaan, onko raudanpuuteanemia aiheutunut tulehduksesta vai riittämättömästä raudasta veressä. Jos se on matala, se voi viitata siihen, että anemian syynä voi olla tulehdus.;TIBC;;;;;;;;;;;;;;;;
Rauta;Female;50;150;ug/dL;Alhaiset rautatasot ovat yleisesti nähtävissä nuorilla naisilla, yleensä kuukautisvuodon vuoksi. Se voi aiheuttaa anemiaa kroonisissa tiloissa.;ä käytetään arvioimaan, onko raudanpuuteanemia aiheutunut tulehduksesta vai riittämättömästä raudasta veressä. Jos se on korkea, se voi viitata siihen, että anemian syy voi olla raudanpuute.;;;;;;;;;;;;;;;;
Rauta;Male;50;150;ug/dL;Alhaiset rautatasot vanhemmilla miehillä voivat johtua verenvuodosta suolistovuodosta.;Kohonneet veren rautatasot voivat näkyä tilassa nimeltä hemokromatoosi.;;;;;;;;;;;;;;;;
Ferritiini;Female;24;307;ng/mL;Ferritiini näyttää kehon rautavarastot, ja matalat tasot voivat ilmetä pitkäaikaisessa raudanpuutteessa.;Kohonneet veren rautatasot voivat näkyä tilassa nimeltä hemokromatoosi.;;;;;;;;;;;;;;;;
Ferritiini;Male;24;336;ng/mL;Ferritiini näyttää kehon rautavarastot, ja matalat tasot voivat ilmetä pitkäaikaisessa raudanpuutteessa.;Kohonneet ferritiinitasot voivat näkyä tilassa nimeltä hemokromatoosi.;;;;;;;;;;;;;;;;
B12-vitamiini;;200;800;pg/mL;B-12-puutos voi aiheuttaa neurologisia oireita (muistin menetys, tasapainohäiriöt jne.) ja anemiaa (verenpuute).;Kohonneet ferritiinitasot voivat näkyä tilassa nimeltä hemokromatoosi.;;;;;;;;;;;;;;;;
25-hydroksi-D-vitamiini;;30;60;ng/mL;Alhainen D-vitamiini aiheuttaa häiriöitä luun ja kalsiumin aineenvaihdunnassa.;Korkeat B12-tasot voivat johtua liiallisesta B12-lisäravinteiden saannista tai liittyä tiettyihin sairauksiin.;;;;;;;;;;;;;;;;
NT - pro - BNP;;0;300;pg/mL;(-);Korkea D-vitamiinitaso voi näkyä liiallisen D-vitamiinilisän saannin tai tiettyjen sairauksien yhteydessä.;;;;;;;;;;;;;;;;
Veren ureatyppi (BUN); ;0;20;mg/dL;Alhaiset veren urean typpitasot voivat esiintyä vegaaneilla, aliravituilla henkilöillä ja pitkittyneen paaston aikana.;Korkeat NT-pro-BNP-arvot osoittavat lisääntynyttä kuormitusta sydämelle, ja niitä esiintyy sydämen vajaatoiminnassa.;;;;;;;;;;;;;;;;
ALP (Alkalinen fosfataasi);;30;120;U/L;(-);Korkeat veren ureanitraattiarvot voivat näkyä munuaisten vajaatoiminnassa, sydämen vajaatoiminnassa ja suolistoverenvuodossa.;;;;;;;;;;;;;;;;
Virtsahappo;;3;7;mg/dL;(-);ALP voi nousta tiloissa, jotka vaikuttavat sappitiehyisiin.;;;;;;;;;;;;;;;;
Kokonaisbilirubiini;;0.3;1;mg/dL;(-);Korkeat virtsahappotasot näkyvät tavallisesti tilassa nimeltä kihti, johon liittyy turvotusta nivelissä, erityisesti jaloissa.;;;;;;;;;;;;;;;;
Suora bilirubiini;;0.1;0.3;mg/dL;(-);Kokonaisbilirubiinitaso voi nousta tiloissa, jotka vaikuttavat maksaan ja sappitiehyisiin.;;;;;;;;;;;;;;;;
Epäsuora bilirubiini;;0.2;0.7;mg/dL;(-);Suora bilirubiini voi nousta tiloissa, jotka vaikuttavat maksaan ja sappitiehyisiin.;;;;;;;;;;;;;;;;
25-hydroksi-D-vitamiini;;30;60;μg/L;Alhainen D-vitamiinitaso aiheuttaa häiriöitä luuston ja kalsiumin aineenvaihdunnassa.;Epäsuora bilirubiini voi nousta hemolyysin (verisolujen hajoaminen) seurauksena.;;;;;;;;;;;;;;;;
